PropertyType,ClassName,Element,Role
mac:MI_Instrument_PropertyType,MI_AcquisitionInformation,,instrument
mac:MI_Instrument_PropertyType,MI_Event,objectiveOccurence,relatedSensor
mac:MI_Instrument_PropertyType,MI_Objective,objective,sensingInstrument
mac:MI_Instrument_PropertyType,MI_Platform,platform,instrument
mac:MI_Operation_PropertyType,MI_AcquisitionInformation,,operation
mac:MI_Operation_PropertyType,MI_Operation,operation,parentOperation
mac:MI_Operation_PropertyType,MI_Operation,operation,childOperation
mac:MI_Operation_PropertyType,MI_Plan,acquisitionPlan,operation
mac:MI_Platform_PropertyType,MI_AcquisitionInformation,,platform
mac:MI_Platform_PropertyType,MI_Instrument,instrument,mountedOn
mac:MI_Platform_PropertyType,MI_Operation,operation,platform
mac:MI_Plan_PropertyType,MI_AcquisitionInformation,,acquisitionPlan
mac:MI_Plan_PropertyType,MI_Operation,operation,plan
mac:MI_Plan_PropertyType,MI_Requirement,acquisitionRequirement,satisifiedPlan
mac:MI_Objective_PropertyType,MI_AcquisitionInformation,,objective
mac:MI_Objective_PropertyType,MI_Event,objectiveOccurence,expectedObjective
mac:MI_Objective_PropertyType,MI_Operation,operation,objective
mac:MI_Requirement_PropertyType,MI_AcquisitionInformation,,acquisitionRequirement
mac:MI_Requirement_PropertyType,MI_Plan,acquisitionPlan,satisfiedRequirement
mac:MI_EnvironmentalRecord_PropertyType,MI_AcquisitionInformation,,environmentalConditions
gco:Real_PropertyType,MI_EnvironmentalRecord,environmentalConditions,averageAirTemperature
gco:Real_PropertyType,MI_EnvironmentalRecord,environmentalConditions,maxRelativeHumidity
gco:Real_PropertyType,MI_EnvironmentalRecord,environmentalConditions,maxAltitude
gco:CharacterString_PropertyType,MI_EnvironmentalRecord,environmentalConditions,meterologicalConditions
gco:CharacterString_PropertyType,MI_Instrument,instrument,type
gco:CharacterString_PropertyType,MI_Instrument,instrument,description
gco:CharacterString_PropertyType,MI_Objective,objective,priority
gco:CharacterString_PropertyType,MI_Objective,objective,function
gco:CharacterString_PropertyType,MI_Operation,operation,description
gco:CharacterString_PropertyType,MI_Platform,platform,description
mcc:MD_Identifier_PropertyType,MI_Event,objectiveOccurence,identifier
mcc:MD_Identifier_PropertyType,MI_Instrument,instrument,identifier
mcc:MD_Identifier_PropertyType,MI_Objective,objective,identifier
mcc:MD_Identifier_PropertyType,MI_Operation,operation,identifier
mcc:MD_Identifier_PropertyType,MI_Platform,platform,identifier
mcc:MD_Identifier_PropertyType,MI_PlatformPass,relatedPass,identifier
mcc:MD_Identifier_PropertyType,MI_Requirement,acquisitionRequirement,identifier
mac:MI_TriggerCode_PropertyType,MI_Event,objectiveOccurence,trigger
mac:MI_ContextCode_PropertyType,MI_Event,objectiveOccurence,context
mac:MI_SequenceCode_PropertyType,MI_Event,objectiveOccurence,sequence
gco:DateTime_PropertyType,MI_Event,objectiveOccurence,time
gco:DateTime_PropertyType,MI_RequestedDate,requestedDate,requestedDateOfCollection
gco:DateTime_PropertyType,MI_RequestedDate,requestedDate,latestAcceptableDate
gco:DateTime_PropertyType,MI_Requirement,acquisitionRequirement,expiryDate
mac:MI_PlatformPass_PropertyType,MI_Event,objectiveOccurence,relatedPass
mac:MI_PlatformPass_PropertyType,MI_Objective,objective,pass
mcc:Abstract_Citation_PropertyType,AbstractMD_Identification,,citation
mcc:Abstract_Citation_PropertyType,AbstractMD_Identification,,additionalDocumentation
mcc:Abstract_Citation_PropertyType,LI_Lineage,,additionalDocumentation
mcc:Abstract_Citation_PropertyType,LI_ProcessStep,processStep,reference
mcc:Abstract_Citation_PropertyType,LI_Source,source,sourceCitation
mac:MI_ObjectiveTypeCode_PropertyType,MI_Objective,objective,type
mcc:Abstract_Extent_PropertyType,MI_Objective,objective,extent
mac:MI_Event_PropertyType,MI_Objective,objective,objectiveOccurence
mac:MI_Event_PropertyType,MI_Operation,operation,significantEvent
mac:MI_Event_PropertyType,MI_PlatformPass,relatedPass,relatedEvent
mcc:MD_ProgressCode_PropertyType,MI_Operation,operation,status
mcc:MD_ProgressCode_PropertyType,MI_Plan,acquisitionPlan,status
mac:MI_OperationTypeCode_PropertyType,MI_Operation,operation,type
mac:MI_GeometryTypeCode_PropertyType,MI_Plan,acquisitionPlan,type
cit:CI_Responsibility_PropertyType,PT_LocaleContainer,,responsibleParty
mcc:Abstract_Responsibility_PropertyType,MI_Requirement,acquisitionRequirement,requestor
mcc:Abstract_Responsibility_PropertyType,MI_Requirement,acquisitionRequirement,recipient
gmw:GM_Object_PropertyType,MI_PlatformPass,relatedPass,extent
mac:MI_PriorityCode_PropertyType,MI_Requirement,acquisitionRequirement,priority
mac:MI_RequestedDate_PropertyType,MI_Requirement,acquisitionRequirement,requestedDate
mcc:Abstract_Citation_PropertyType,LI_Source,source,sourceMetadata
gco:CharacterString_PropertyType,MD_ApplicationSchemaInformation,,schemaLanguage
gco:CharacterString_PropertyType,MD_ApplicationSchemaInformation,,constraintLanguage
gco:CharacterString_PropertyType,MD_ApplicationSchemaInformation,,schemaAscii
gco:CharacterString_PropertyType,MD_ApplicationSchemaInformation,,softwareDevelopmentFileFormat
mcc:Abstract_OnlineResource_PropertyType,MD_ApplicationSchemaInformation,,graphicsFile
mcc:Abstract_OnlineResource_PropertyType,MD_ApplicationSchemaInformation,,softwareDevelopmentFile
gco:CharacterString_PropertyType,TypeName,,aName
gco:CharacterString_PropertyType,MemberName,,aName
gco:TypeName_PropertyType,MemberName,,attributeType
gco:MultiplicityRange_PropertyType,Multiplicity,,range
gco:Integer_PropertyType,MultiplicityRange,range,lower
gco:UnlimitedInteger_PropertyType,MultiplicityRange,range,upper
gco:CharacterString_PropertyType,AbstractCT_Catalogue,,name
gco:CharacterString_PropertyType,AbstractCT_Catalogue,,scope
gco:CharacterString_PropertyType,AbstractCT_Catalogue,,fieldOfApplication
gco:CharacterString_PropertyType,AbstractCT_Catalogue,,versionNumber
gco:CharacterString_PropertyType,AbstractCT_Catalogue,,language
gco:CharacterString_PropertyType,AbstractCT_Item,,definition
gco:CharacterString_PropertyType,AbstractCT_Item,,description
gco:Date_PropertyType,AbstractCT_Catalogue,,versionDate
lan:MD_CharacterSetCode_PropertyType,AbstractCT_Catalogue,,characterSet
lan:PT_Locale_PropertyType,AbstractCT_Catalogue,,locale
gco:GenericName_PropertyType,AbstractCT_Item,,identifier
gco:GenericName_PropertyType,AbstractCT_Item,,name
gco:CharacterString_PropertyType,CI_Address,address,deliveryPoint
gco:CharacterString_PropertyType,CI_Address,address,city
gco:CharacterString_PropertyType,CI_Address,address,administrativeArea
